Metric,Panel,Model,1,5,22
MAE,NASDAQ100/Parkinson,GARCH,0.00015,0.00015,0.00016
MAE,NASDAQ100/Parkinson,LSTM,9e-05,9e-05,0.00011
MAE,NASDAQ100/Parkinson,CNN_LSTM,8e-05,0.0001,0.00011
MAE,NASDAQ100/Parkinson,Transformer,8e-05,0.0001,0.00016
MAE,NASDAQ100/Parkinson,PatchTST_lite,8e-05,9e-05,0.00013
MAE,NASDAQ100/YangZhang,HAR,1e-05,3e-05,9e-05
MAE,NASDAQ100/YangZhang,ARIMA,1e-05,3e-05,9e-05
MAE,NASDAQ100/YangZhang,GARCH,5e-05,5e-05,0.0001
MAE,NASDAQ100/YangZhang,LSTM,1e-05,3e-05,9e-05
MAE,NASDAQ100/YangZhang,CNN_LSTM,1e-05,3e-05,0.0001
MAE,NASDAQ100/YangZhang,Transformer,3e-05,3e-05,0.0001
MAE,NASDAQ100/YangZhang,PatchTST_lite,3e-05,3e-05,9e-05
MAE,DJIA/CC,HAR,8e-05,8e-05,8e-05
MAE,DJIA/CC,ARIMA,8e-05,8e-05,8e-05
MAE,DJIA/CC,GARCH,0.0001,0.0001,0.00011
MAE,DJIA/CC,LSTM,0.00011,0.0001,0.0001
MAE,DJIA/CC,CNN_LSTM,0.00011,0.0001,0.0001
MAE,DJIA/CC,Transformer,0.00011,0.0001,0.00011
MAE,DJIA/CC,PatchTST_lite,0.00012,0.0001,0.00014
MAE,DJIA/Parkinson,HAR,4e-05,4e-05,4e-05
MAE,DJIA/Parkinson,ARIMA,4e-05,4e-05,4e-05
MAE,DJIA/Parkinson,GARCH,6e-05,7e-05,8e-05
MAE,DJIA/Parkinson,LSTM,4e-05,5e-05,6e-05
MAE,DJIA/Parkinson,CNN_LSTM,4e-05,5e-05,6e-05
MAE,DJIA/Parkinson,Transformer,4e-05,5e-05,5e-05
MAE,DJIA/Parkinson,PatchTST_lite,5e-05,5e-05,6e-05
MAE,DJIA/YangZhang,HAR,0.0,1e-05,4e-05
MAE,DJIA/YangZhang,ARIMA,0.0,1e-05,4e-05
MAE,DJIA/YangZhang,GARCH,3e-05,3e-05,5e-05
MAE,DJIA/YangZhang,LSTM,0.0,1e-05,4e-05
MAE,DJIA/YangZhang,CNN_LSTM,0.0,1e-05,4e-05
MAE,DJIA/YangZhang,Transformer,1e-05,1e-05,4e-05
MAE,DJIA/YangZhang,PatchTST_lite,2e-05,2e-05,4e-05
