Index,Estimator,Horizon,Model,QLIKE,RMSE,MAE,QLIKE_rank
NASDAQ100,YangZhang,1,PatchTST_lite,-7.771463470191998,5.414637601719896e-05,3.2505664328312496e-05,6.0
NASDAQ100,YangZhang,5,HAR,-7.764788673322512,5.821935626063103e-05,2.957945350472712e-05,5.0
NASDAQ100,YangZhang,5,ARIMA,-7.76525374716248,5.8231598504172436e-05,2.9465227527454397e-05,4.0
NASDAQ100,YangZhang,5,GARCH,-7.742932858891063,8.704424741324869e-05,5.204784767242177e-05,7.0
NASDAQ100,YangZhang,5,LSTM,-7.768313620654324,5.6026418978050444e-05,2.8936110919798756e-05,1.0
NASDAQ100,YangZhang,5,CNN_LSTM,-7.767979108498826,5.0185475811665745e-05,2.61163011592147e-05,2.0
NASDAQ100,YangZhang,5,Transformer,-7.766630685211815,5.0356186089784184e-05,2.9424225557590006e-05,3.0
NASDAQ100,YangZhang,5,PatchTST_lite,-7.763944395074524,5.5469618121771304e-05,3.150339710678431e-05,6.0
NASDAQ100,YangZhang,22,HAR,-7.583447939752611,0.0001469429599611146,8.895370367657572e-05,4.0
NASDAQ100,YangZhang,22,ARIMA,-7.5759758268834885,0.000152977892027903,9.114767099335726e-05,5.0
NASDAQ100,YangZhang,22,GARCH,-7.619921368049624,0.00016497460035591808,0.0001043900536154165,2.0
NASDAQ100,YangZhang,22,LSTM,-7.630039531580681,0.00015665127075781724,9.228072174971225e-05,1.0
NASDAQ100,YangZhang,22,CNN_LSTM,-7.601690943259379,0.00017235032507233975,0.00010282801495115313,3.0
NASDAQ100,YangZhang,22,Transformer,-7.4465595798294935,0.0001679530632717782,0.00010373952327022366,7.0
NASDAQ100,YangZhang,22,PatchTST_lite,-7.52567382922271,0.00015496851754733863,8.920635976302297e-05,6.0
DJIA,CC,1,HAR,-6.2948590729007226,0.00024669096679683333,8.223927654811519e-05,6.0
DJIA,CC,1,ARIMA,-6.046303408942018,0.0002488235202578315,8.274926305308973e-05,7.0
DJIA,CC,1,GARCH,-8.465026347097734,0.00023431592271765705,0.00010007601463093539,4.0
DJIA,CC,1,LSTM,-8.484560956035159,0.00022843206054874778,0.00010598706486336364,2.0
DJIA,CC,1,CNN_LSTM,-8.494227579911257,0.0002298237112134485,0.00010549129132712628,1.0
DJIA,CC,1,Transformer,-8.481246582280077,0.0002336324227363756,0.00010503996671087377,3.0
DJIA,CC,1,PatchTST_lite,-8.306668650283518,0.0002870221736489591,0.00012171821864527639,5.0
DJIA,CC,5,HAR,-5.925919310050558,0.00024853734369525266,8.238502825695836e-05,6.0
DJIA,CC,5,ARIMA,-5.84790039315916,0.00024943560353830565,8.293548070338694e-05,7.0
DJIA,CC,5,GARCH,-8.364238719737083,0.00024369285272973806,0.00010323376521368767,4.0
DJIA,CC,5,LSTM,-8.406132604478609,0.00024119883765108888,9.819576397733629e-05,1.0
